species,name,group
Dog,German Shepherd/Black Mouth Cur,Herding; Hound
Dog,Miniature Schnauzer/Australian Cattle Dog,Herding; Terrier
Dog,Siberian Husky/Catahoula,Toy; Working
Dog,Border Terrier/Cardigan Welsh Corgi,Herding; Terrier
Dog,Black Mouth Cur/Catahoula,Toy; Hound
Dog,Basenji/Rhod Ridgeback,Hound
Dog,Cardigan Welsh Corgi/Australian Kelpie,Herding; Terrier
Dog,Alaskan Malamute/Australian Kelpie,Terrier; Working
Dog,Australian Cattle Dog/Dachshund,Herding; Hound
Dog,Irish Terrier/Border Terrier,Terrier
Dog,Boxer/English Bulldog,Non-Sporting; Working
Dog,Siberian Husky/Pit Bull,Terrier; Working
Dog,Labrador Retriever/Catahoula,Sporting; Toy
Dog,Labrador Retriever/Basset Hound,Sporting; Hound
Dog,Shetland Sheepdog/Brittany,Herding; Sporting
Dog,Chihuahua Shorthair/Italian Greyhound,Toy
Dog,Cairn Terrier/Border Terrier,Terrier
Dog,Cocker Spaniel Mix,Sporting
Dog,Pit Bull/Weimaraner,Sporting; Terrier
Dog,Manchester Terrier,Toy; Terrier
Dog,French Bulldog/Pug,Non-Sporting; Toy
Dog,German Shorthair Pointer Mix,Sporting
Dog,Miniature Schnauzer/Jack Russell Terrier,Terrier
Dog,Catahoula/Boxer,Toy; Working
Dog,Toy Poodle/Cocker Spaniel,Non-Sporting; Sporting; Toy
Dog,Shetland Sheepdog/Pomeranian,Herding; Toy
Dog,Great Pyrenees Mix,Working
Dog,Australian Cattle Dog/Jack Russell Terrier,Herding; Terrier
Dog,Rottweiler/Labrador Retriever,Sporting; Working
Dog,Australian Shepherd/Feist,Non-Sporting; Herding
Dog,Shetland Sheepdog/Basenji,Herding; Hound
Dog,Labrador Retriever/Boxer,Sporting; Working
Dog,Chihuahua Longhair/Italian Greyhound,Toy
Dog,Pekingese/Jack Russell Terrier,Toy; Terrier
Dog,Chihuahua Shorthair/Queensland Heeler,Herding; Toy
Dog,Australian Cattle Dog/Pit Bull,Herding; Terrier
Dog,Havanese Mix,Toy
Dog,Maltese/Yorkshire Terrier,Toy
Dog,Jack Russell Terrier/Yorkshire Terrier,Toy; Terrier
Dog,Jack Russell Terrier/Dachshund Wirehair,Hound; Terrier
Dog,Black/Tan Hound/German Shepherd,Herding; Hound
Dog,Beagle/Black Mouth Cur,Hound
Dog,Dutch Shepherd/Mastiff,Herding; Working
Dog,Cardigan Welsh Corgi/Beagle,Herding; Hound
Dog,Dachshund/Whippet,Hound
Dog,Beagle/Queensland Heeler,Herding; Hound
Dog,Dachshund/Miniature Poodle,Toy; Hound
Dog,English Foxhound,Hound
Dog,Golden Retriever/Border Collie,Sporting; Herding
Dog,Rat Terrier/Pointer,Sporting; Terrier
Dog,Kuvasz/Labrador Retriever,Sporting; Working
Dog,Blue Lacy/American Bulldog,Herding; Hound
Dog,Maltese/Dalmatian,Non-Sporting; Toy
Dog,English Bulldog/American Bulldog,Non-Sporting; Hound
